
layer: module.encoder.layer1.0.conv2.weight, channel: 128
prune 0.25, acc: 0.9469192339716903
prune 0.5, acc: 0.8096378018318068
prune 0.75, acc: 0.8718776019983348
layer: module.encoder.layer1.1.conv2.weight, channel: 128
prune 0.25, acc: 0.9443172356369692
prune 0.5, acc: 0.9104912572855953
prune 0.75, acc: 0.946398834304746
layer: module.encoder.layer2.0.conv2.weight, channel: 256
prune 0.125, acc: 0.9088259783513739
prune 0.25, acc: 0.8944629475437136
prune 0.375, acc: 0.6465445462114904
prune 0.5, acc: 0.634263114071607
prune 0.625, acc: 0.7267901748542881
prune 0.75, acc: 0.7042048293089093
prune 0.875, acc: 0.5636969192339717
layer: module.encoder.layer2.1.conv2.weight, channel: 256
prune 0.125, acc: 0.9574313072439634
prune 0.25, acc: 0.9531640299750208
prune 0.375, acc: 0.9434845961698585
prune 0.5, acc: 0.9376561199000832
prune 0.625, acc: 0.9198584512905912
prune 0.75, acc: 0.9191298917568693
prune 0.875, acc: 0.9096586178184846
layer: module.encoder.layer3.0.conv2.weight, channel: 512
prune 0.0625, acc: 0.9612822647793505
prune 0.125, acc: 0.958992506244796
prune 0.1875, acc: 0.9511865112406328
prune 0.25, acc: 0.7756036636136553
prune 0.3125, acc: 0.8073480432972523
prune 0.375, acc: 0.8414862614487927
prune 0.4375, acc: 0.42152373022481265
prune 0.5, acc: 0.33576186511240635
prune 0.5625, acc: 0.3946711074104913
prune 0.625, acc: 0.3428393005828476
prune 0.6875, acc: 0.7548917568692756
prune 0.75, acc: 0.5769150707743547
prune 0.8125, acc: 0.925895087427144
prune 0.875, acc: 0.8409658617818485
prune 0.9375, acc: 0.7468776019983348
layer: module.encoder.layer3.1.conv2.weight, channel: 512
prune 0.0625, acc: 0.964300582847627
prune 0.125, acc: 0.9606577851790175
prune 0.1875, acc: 0.9492089925062448
prune 0.25, acc: 0.9447335553705246
prune 0.3125, acc: 0.8870732722731057
prune 0.375, acc: 0.8113030807660283
prune 0.4375, acc: 0.8385720233139051
prune 0.5, acc: 0.8069317235636969
prune 0.5625, acc: 0.822751873438801
prune 0.625, acc: 0.8389883430474604
prune 0.6875, acc: 0.7849708576186512
prune 0.75, acc: 0.7555162364696086
prune 0.8125, acc: 0.7577019150707743
prune 0.875, acc: 0.3855120732722731
prune 0.9375, acc: 0.3182764363030808
layer: module.encoder.layer4.0.conv2.weight, channel: 1024
prune 0.03125, acc: 0.9663821815154038
prune 0.0625, acc: 0.9667985012489592
prune 0.09375, acc: 0.9667985012489592
prune 0.125, acc: 0.9667985012489592
prune 0.15625, acc: 0.9674229808492922
prune 0.1875, acc: 0.9683597002497918
prune 0.21875, acc: 0.9669025811823481
prune 0.25, acc: 0.9669025811823481
prune 0.28125, acc: 0.9669025811823481
prune 0.3125, acc: 0.9663821815154038
prune 0.34375, acc: 0.9675270607826811
prune 0.375, acc: 0.9671107410491258
prune 0.40625, acc: 0.9664862614487927
prune 0.4375, acc: 0.9670066611157369
prune 0.46875, acc: 0.9663821815154038
prune 0.5, acc: 0.9669025811823481
prune 0.53125, acc: 0.9652373022481265
prune 0.5625, acc: 0.9652373022481265
prune 0.59375, acc: 0.9633638634471274
prune 0.625, acc: 0.9646128226477935
prune 0.65625, acc: 0.9628434637801832
prune 0.6875, acc: 0.962947543713572
prune 0.71875, acc: 0.8679225645295587
prune 0.75, acc: 0.8652164862614488
prune 0.78125, acc: 0.8653205661948377
prune 0.8125, acc: 0.8601165695253955
prune 0.84375, acc: 0.869067443796836
prune 0.875, acc: 0.8662572855953372
prune 0.90625, acc: 0.8639675270607827
prune 0.9375, acc: 0.8594920899250624
prune 0.96875, acc: 0.858451290591174
layer: module.encoder.layer4.1.conv2.weight, channel: 1024
prune 0.03125, acc: 0.9658617818484596
prune 0.0625, acc: 0.9658617818484596
prune 0.09375, acc: 0.9658617818484596
prune 0.125, acc: 0.9658617818484596
prune 0.15625, acc: 0.9658617818484596
prune 0.1875, acc: 0.9658617818484596
prune 0.21875, acc: 0.9658617818484596
prune 0.25, acc: 0.9658617818484596
prune 0.28125, acc: 0.9658617818484596
prune 0.3125, acc: 0.9658617818484596
prune 0.34375, acc: 0.9658617818484596
prune 0.375, acc: 0.9658617818484596
prune 0.40625, acc: 0.9658617818484596
prune 0.4375, acc: 0.9658617818484596
prune 0.46875, acc: 0.9658617818484596
prune 0.5, acc: 0.9658617818484596
prune 0.53125, acc: 0.9658617818484596
prune 0.5625, acc: 0.9658617818484596
prune 0.59375, acc: 0.9658617818484596
prune 0.625, acc: 0.9658617818484596
prune 0.65625, acc: 0.9658617818484596
prune 0.6875, acc: 0.9658617818484596
prune 0.71875, acc: 0.9658617818484596
prune 0.75, acc: 0.9658617818484596
prune 0.78125, acc: 0.9658617818484596
prune 0.8125, acc: 0.9658617818484596
prune 0.84375, acc: 0.9658617818484596
prune 0.875, acc: 0.9658617818484596
prune 0.90625, acc: 0.9658617818484596
prune 0.9375, acc: 0.9658617818484596
prune 0.96875, acc: 0.9658617818484596
